model,seed,step,entropy_bits
Gemini 2.5 Pro,7,7,0
Gemini 2.5 Pro,7,8,0
Gemini 2.5 Pro,7,9,0
Gemini 2.5 Pro,8,1,6.643856189774724
Gemini 2.5 Pro,8,2,5.930737337562887
Gemini 2.5 Pro,8,3,5.321928094887363
Gemini 2.5 Pro,8,4,4.643856189774724
Gemini 2.5 Pro,8,5,3.584962500721156
Gemini 2.5 Pro,8,6,2
Gemini 2.5 Pro,8,7,0
Gemini 2.5 Pro,8,8,0
Gemini 2.5 Pro,8,9,0
Gemini 2.5 Pro,9,1,6.643856189774724
Gemini 2.5 Pro,9,2,5.930737337562887
Gemini 2.5 Pro,9,3,5.321928094887363
Gemini 2.5 Pro,9,4,4.643856189774724
Gemini 2.5 Pro,9,5,3.584962500721156
Gemini 2.5 Pro,9,6,2
Gemini 2.5 Pro,9,7,0
Gemini 2.5 Pro,9,8,0
Gemini 2.5 Pro,9,9,0
Gemini 2.5 Pro,10,1,6.643856189774724
Gemini 2.5 Pro,10,2,5.930737337562887
Gemini 2.5 Pro,10,3,5.321928094887363
Gemini 2.5 Pro,10,4,4.643856189774724
Gemini 2.5 Pro,10,5,3.584962500721156
Gemini 2.5 Pro,10,6,2
Gemini 2.5 Pro,10,7,0
Gemini 2.5 Pro,10,8,0
Gemini 2.5 Pro,10,9,0
GPT 5,1,1,6.643856189774724
GPT 5,1,2,5.857980995127572
GPT 5,1,3,4.954196310386875
GPT 5,1,4,4.169925001442312
GPT 5,1,5,3.321928094887362
GPT 5,1,6,1
GPT 5,1,7,1
GPT 5,1,8,1
GPT 5,1,9,1
GPT 5,2,1,6.643856189774724
GPT 5,2,2,6.066089190457772
GPT 5,2,3,5.285402218862249
GPT 5,2,4,4.392317422778761
GPT 5,2,5,3.321928094887362
GPT 5,2,6,1
GPT 5,2,7,1
GPT 5,2,8,1
GPT 5,2,9,1
GPT 5,3,1,6.643856189774724
GPT 5,3,2,5.906890595608519
GPT 5,3,3,4.954196310386875
GPT 5,3,4,3.807354922057604
GPT 5,3,5,2.584962500721156
GPT 5,3,6,1
GPT 5,3,7,1
GPT 5,3,8,1
GPT 5,3,9,1
GPT 5,4,1,6.643856189774724
GPT 5,4,2,5.857980995127572
GPT 5,4,3,5.20945336562895
GPT 5,4,4,4.321928094887363
GPT 5,4,5,3.321928094887362
GPT 5,4,6,1
GPT 5,4,7,0
GPT 5,4,8,0
GPT 5,4,9,0
GPT 5,5,1,6.643856189774724
GPT 5,5,2,5.906890595608519
GPT 5,5,3,5.20945336562895
GPT 5,5,4,4.247927513443585
GPT 5,5,5,3.169925001442312
GPT 5,5,6,1
GPT 5,5,7,0
GPT 5,5,8,0
GPT 5,5,9,0
GPT 5,6,1,6.643856189774724
GPT 5,6,2,5.807354922057604
GPT 5,6,3,5
GPT 5,6,4,4
GPT 5,6,5,3
GPT 5,6,6,1
GPT 5,6,7,0
GPT 5,6,8,0
GPT 5,6,9,0
GPT 5,7,1,6.643856189774724
GPT 5,7,2,5.954196310386875
GPT 5,7,3,5.20945336562895
GPT 5,7,4,4.392317422778761
GPT 5,7,5,3.459431618637297
GPT 5,7,6,1
GPT 5,7,7,0
GPT 5,7,8,0
GPT 5,7,9,0
GPT 5,8,1,6.643856189774724
GPT 5,8,2,5.882643049361842
GPT 5,8,3,4.857980995127572
GPT 5,8,4,3.807354922057604
GPT 5,8,5,2.584962500721156
GPT 5,8,6,1
GPT 5,8,7,0
GPT 5,8,8,0
GPT 5,8,9,0
GPT 5,9,1,6.643856189774724
GPT 5,9,2,6.108524456778169
GPT 5,9,3,5.321928094887363
GPT 5,9,4,4.700439718141092
GPT 5,9,5,3.906890595608519
GPT 5,9,6,2
GPT 5,9,7,0
GPT 5,9,8,0
GPT 5,9,9,0
GPT 5,10,1,6.643856189774724
GPT 5,10,2,5.807354922057604
GPT 5,10,3,4.754887502163468
GPT 5,10,4,3.700439718141092
GPT 5,10,5,2.584962500721156
GPT 5,10,6,2
GPT 5,10,7,0
GPT 5,10,8,0
GPT 5,10,9,0
Grok 4,1,1,6.643856189774724
Grok 4,1,2,5.832890014164741
Grok 4,1,3,4.906890595608519
Grok 4,1,4,3.807354922057604
Grok 4,1,5,2.584962500721156
Grok 4,1,6,1
Grok 4,1,7,1
Grok 4,1,8,1
Grok 4,1,9,1
Grok 4,2,1,6.643856189774724
Grok 4,2,2,6.022367813028454
Grok 4,2,3,5.357552004618084
Grok 4,2,4,4.643856189774724
Grok 4,2,5,3.700439718141092
Grok 4,2,6,2.807354922057604
Grok 4,2,7,1
Grok 4,2,8,1
Grok 4,2,9,1
Grok 4,3,1,6.643856189774724
Grok 4,3,2,6
Grok 4,3,3,5.426264754702098
Grok 4,3,4,4.643856189774724
Grok 4,3,5,3.700439718141092
Grok 4,3,6,2.584962500721156
Grok 4,3,7,1
Grok 4,3,8,1
Grok 4,3,9,1
Grok 4,4,1,6.643856189774724
Grok 4,4,2,5.832890014164741
Grok 4,4,3,4.857980995127572
Grok 4,4,4,3.807354922057604
Grok 4,4,5,2.584962500721156
Grok 4,4,6,1
Grok 4,4,7,0
Grok 4,4,8,0
Grok 4,4,9,0
Grok 4,5,1,6.643856189774724
Grok 4,5,2,5.78135971352466
Grok 4,5,3,4.954196310386875
Grok 4,5,4,4.087462841250339
Grok 4,5,5,3.169925001442312
Grok 4,5,6,2
Grok 4,5,7,0
Grok 4,5,8,0
Grok 4,5,9,0
Grok 4,6,1,6.643856189774724
Grok 4,6,2,6.189824558880018
Grok 4,6,3,5.643856189774724
Grok 4,6,4,4.906890595608519
Grok 4,6,5,4
Grok 4,6,6,3.169925001442312
Grok 4,6,7,0
Grok 4,6,8,0
Grok 4,6,9,0
Grok 4,7,1,6.643856189774724
Grok 4,7,2,6.129283016944966
Grok 4,7,3,5.357552004618084
Grok 4,7,4,4.700439718141092
Grok 4,7,5,3.906890595608519
Grok 4,7,6,2.807354922057604
Grok 4,7,7,0
Grok 4,7,8,0
Grok 4,7,9,0
Grok 4,8,1,6.643856189774724
Grok 4,8,2,5.754887502163468
Grok 4,8,3,4.906890595608519
Grok 4,8,4,4.087462841250339
Grok 4,8,5,2.807354922057604
Grok 4,8,6,1.584962500721156
Grok 4,8,7,0
Grok 4,8,8,0
Grok 4,8,9,0
Grok 4,9,1,6.643856189774724
Grok 4,9,2,6.066089190457772
Grok 4,9,3,5.357552004618084
Grok 4,9,4,4.643856189774724
Grok 4,9,5,3.700439718141092
Grok 4,9,6,2.807354922057604
Grok 4,9,7,0
Grok 4,9,8,0
Grok 4,9,9,0
Grok 4,10,1,6.643856189774724
Grok 4,10,2,5.954196310386875
Grok 4,10,3,5.247927513443585
Grok 4,10,4,4.584962500721156
Grok 4,10,5,3.584962500721156
Grok 4,10,6,2.807354922057604
Grok 4,10,7,0
Grok 4,10,8,0
Grok 4,10,9,0
Oracle,1,1,6.643856189774724
Oracle,1,2,6.066089190457772
Oracle,1,3,5.20945336562895
Oracle,1,4,4.247927513443585
Oracle,1,5,3.321928094887362
Oracle,1,6,1
Oracle,1,7,1
Oracle,1,8,1
Oracle,1,9,1
Oracle,2,1,6.643856189774724
Oracle,2,2,5.554588851677638
Oracle,2,3,4.584962500721156
Oracle,2,4,3.459431618637297
Oracle,2,5,2
Oracle,2,6,1
Oracle,2,7,1
Oracle,2,8,1
Oracle,2,9,1
Oracle,3,1,6.643856189774724
Oracle,3,2,5.672425341971495
Oracle,3,3,4.754887502163468
Oracle,3,4,3.807354922057604
Oracle,3,5,2.584962500721156
Oracle,3,6,0
Oracle,3,7,0
Oracle,3,8,0
Oracle,3,9,0
Oracle,4,1,6.643856189774724
Oracle,4,2,5.906890595608519
Oracle,4,3,5
Oracle,4,4,3.807354922057604
Oracle,4,5,2.584962500721156
Oracle,4,6,0
Oracle,4,7,0
Oracle,4,8,0
Oracle,4,9,0
Oracle,5,1,6.643856189774724
Oracle,5,2,6.108524456778169
Oracle,5,3,5.392317422778761
Oracle,5,4,4.392317422778761
Oracle,5,5,3.459431618637297
Oracle,5,6,0
Oracle,5,7,0
Oracle,5,8,0
Oracle,5,9,0
Oracle,6,1,6.643856189774724
Oracle,6,2,6.108524456778169
Oracle,6,3,5.285402218862249
Oracle,6,4,4.321928094887363
Oracle,6,5,3.321928094887362
Oracle,6,6,0
Oracle,6,7,0
Oracle,6,8,0
Oracle,6,9,0
Oracle,7,1,6.643856189774724
Oracle,7,2,6.129283016944966
Oracle,7,3,5.523561956057013
Oracle,7,4,4.807354922057604
Oracle,7,5,4
Oracle,7,6,0
Oracle,7,7,0
Oracle,7,8,0
Oracle,7,9,0
Oracle,8,1,6.643856189774724
Oracle,8,2,5.700439718141092
Oracle,8,3,4.643856189774724
Oracle,8,4,3.584962500721156
Oracle,8,5,2.321928094887362
Oracle,8,6,0
Oracle,8,7,0
Oracle,8,8,0
Oracle,8,9,0
Oracle,9,1,6.643856189774724
Oracle,9,2,5.832890014164741
Oracle,9,3,4.857980995127572
Oracle,9,4,3.700439718141092
Oracle,9,5,2.584962500721156
Oracle,9,6,0
Oracle,9,7,0
Oracle,9,8,0
Oracle,9,9,0
Oracle,10,1,6.643856189774724
Oracle,10,2,5.832890014164741
Oracle,10,3,5
Oracle,10,4,3.906890595608519
Oracle,10,5,2.807354922057604
Oracle,10,6,0
Oracle,10,7,0
Oracle,10,8,0
Oracle,10,9,0
